79,125,45,1,xa0fVxkS35mRZZCWaJRk
86,152,58,2,UHWe6KPOWnZT4V5oENo3
74,106,30,3,y91dpPasbuQbl5adHQ6i
62,171,37,4,LWG8Zg3eT8TJGYcVm7Jy
42,102,54,5,Sxw1aOJpM5Lp9aVUr49S
6,118,43,6,DeQaph8k5ybNhakoMTXm
91,24,43,7,F4mpW3IVsuj4hvl1vSm5
68,143,58,8,6rl5ZYFSlUY9zH8QwbJS
50,128,41,9,gtJGoXnFYKvqr90rXHFN
74,162,56,10,xVhsXH8XZG6zabXwEZG4
9,135,39,11,U4CPF57MFiRRIofidhhK
66,23,37,12,5qPJ9sDUN5ZwyzJswMFu
51,86,53,13,Ron7hijGwhDMvQhJPrAX
11,65,44,14,MSydEG11yJKZ2c31irnr
30,123,15,15,RrAqTwgYcPtpnnWsk1Mg
17,24,60,16,iX2p1kVv3kMwO9bHy45u
90,119,31,17,LSIZH8KBDnYgd2NnXXKD
19,189,14,18,rPRWDMn3BNbHWQYuWwEK
44,182,46,19,hAHJoeIBwUnenLGavq5X
3,45,55,20,O199GXyCOgNkyfI1hGyE
